Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.54265947
100% Corpus,2,0.01,0.31,0.515959879
100% Corpus,2,0.01,0.61,0.515959879
100% Corpus,2,0.01,0.91,0.51374465
100% Corpus,2,0.01,symmetric,0.51374465
100% Corpus,2,0.31,0.01,0.550111987
100% Corpus,2,0.31,0.31,0.520637953
100% Corpus,2,0.31,0.61,0.520637953
100% Corpus,2,0.31,0.91,0.505780413
100% Corpus,2,0.31,symmetric,0.525295976
100% Corpus,2,0.61,0.01,0.525725964
100% Corpus,2,0.61,0.31,0.532343763
100% Corpus,2,0.61,0.61,0.519104362
100% Corpus,2,0.61,0.91,0.531212795
100% Corpus,2,0.61,symmetric,0.519104362
100% Corpus,2,0.91,0.01,0.535014522
100% Corpus,2,0.91,0.31,0.541140973
100% Corpus,2,0.91,0.61,0.524916278
100% Corpus,2,0.91,0.91,0.529502761
100% Corpus,2,0.91,symmetric,0.531026002
100% Corpus,2,symmetric,0.01,0.531212795
100% Corpus,2,symmetric,0.31,0.510728387
100% Corpus,2,symmetric,0.61,0.52283682
100% Corpus,2,symmetric,0.91,0.513405746
100% Corpus,2,symmetric,symmetric,0.510728387
100% Corpus,2,asymmetric,0.01,0.553876125
100% Corpus,2,asymmetric,0.31,0.53644042
100% Corpus,2,asymmetric,0.61,0.540677165
100% Corpus,2,asymmetric,0.91,0.541928383
100% Corpus,2,asymmetric,symmetric,0.540677165
100% Corpus,3,0.01,0.01,0.482064226
100% Corpus,3,0.01,0.31,0.454009796
100% Corpus,3,0.01,0.61,0.555077499
100% Corpus,3,0.01,0.91,0.486594837
100% Corpus,3,0.01,symmetric,0.487680903
100% Corpus,3,0.31,0.01,0.488955196
100% Corpus,3,0.31,0.31,0.53013319
100% Corpus,3,0.31,0.61,0.568124982
100% Corpus,3,0.31,0.91,0.529995724
100% Corpus,3,0.31,symmetric,0.52761284
100% Corpus,3,0.61,0.01,0.501789669
100% Corpus,3,0.61,0.31,0.535243338
100% Corpus,3,0.61,0.61,0.535243338
100% Corpus,3,0.61,0.91,0.533899211
100% Corpus,3,0.61,symmetric,0.50592232
100% Corpus,3,0.91,0.01,0.52738501
100% Corpus,3,0.91,0.31,0.542859455
100% Corpus,3,0.91,0.61,0.545297239
100% Corpus,3,0.91,0.91,0.525963582
100% Corpus,3,0.91,symmetric,0.553407944
100% Corpus,3,symmetric,0.01,0.572433358
100% Corpus,3,symmetric,0.31,0.495758748
100% Corpus,3,symmetric,0.61,0.525134606
100% Corpus,3,symmetric,0.91,0.510333198
100% Corpus,3,symmetric,symmetric,0.585264615
100% Corpus,3,asymmetric,0.01,0.573668579
100% Corpus,3,asymmetric,0.31,0.544736606
100% Corpus,3,asymmetric,0.61,0.502156138
100% Corpus,3,asymmetric,0.91,0.552473873
100% Corpus,3,asymmetric,symmetric,0.566351693
100% Corpus,4,0.01,0.01,0.55654105
